eia_long_name,eia_short_name,hlifd_name
"Alcoa Power Generating, Inc. - Yadkin Division",YAD,"ALCOA POWER GENERATING, INC. - YADKIN DIVISION"
Arizona Public Service Company,AZPS,ARIZONA PUBLIC SERVICE COMPANY
"Arlington Valley, LLC",DEAA,"ARLINGTON VALLEY, LLC - AVBA"
"Associated Electric Cooperative, Inc.",AECI,"ASSOCIATED ELECTRIC COOPERATIVE, INC."
"Avangrid Renewables, LLC",AVRN,
Avista Corporation,AVA,AVISTA CORPORATION
Balancing Authority of Northern California,BANC,BALANCING AUTHORITY OF NORTHERN CALIFORNIA
Bonneville Power Administration,BPAT,BONNEVILLE POWER ADMINISTRATION
California Independent System Operator,CISO,CALIFORNIA INDEPENDENT SYSTEM OPERATOR
City of Homestead,HST,CITY OF HOMESTEAD
"City of Tacoma, Department of Public Utilities, Light Division",TPWR,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION"
City of Tallahassee,TAL,CITY OF TALLAHASSEE
Duke Energy Carolinas,DUK,DUKE ENERGY CAROLINAS
"Duke Energy Florida, Inc.",FPC,DUKE ENERGY FLORIDA INC
Duke Energy Progress East,CPLE,DUKE ENERGY PROGRESS EAST
Duke Energy Progress West,CPLW,DUKE ENERGY PROGRESS WEST
El Paso Electric Company,EPE,EL PASO ELECTRIC COMPANY
"Electric Energy, Inc.",EEI,"ELECTRIC ENERGY, INC."
"Electric Reliability Council of Texas, Inc.",ERCO,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC."
Florida Municipal Power Pool,FMPP,FLORIDA MUNICIPAL POWER POOL
Florida Power & Light Co.,FPL,FLORIDA POWER & LIGHT COMPANY
Gainesville Regional Utilities,GVL,GAINESVILLE REGIONAL UTILITIES
GridLiance,GLHB,
"Gridforce Energy Management, LLC",GRID,"GRIDFORCE ENERGY MANAGEMENT, LLC"
"Griffith Energy, LLC",GRIF,"GRIFFITH ENERGY, LLC"
ISO New England,ISNE,ISO NEW ENGLAND INC.
Idaho Power Company,IPCO,IDAHO POWER COMPANY
Imperial Irrigation District,IID,IMPERIAL IRRIGATION DISTRICT
JEA,JEA,JEA
Los Angeles Department of Water and Power,LDWP,LOS ANGELES DEPARTMENT OF WATER AND POWER
Louisville Gas and Electric Company and Kentucky Utilities Company,LGEE,LOUISVILLE GAS AND ELECTRIC COMPANY AND KENTUCKY UTILITIES
"Midcontinent Independent System Operator, Inc.",MISO,"MIDCONTINENT INDEPENDENT TRANSMISSION SYSTEM OPERATOR, INC.."
"NaturEner Power Watch, LLC",GWA,"NATURENER POWER WATCH, LLC (GWA)"
"NaturEner Wind Watch, LLC",WWA,"NATURENER WIND WATCH, LLC"
Nevada Power Company,NEVP,NEVADA POWER COMPANY
"New Harquahala Generating Company, LLC",HGMA,"NEW HARQUAHALA GENERATING COMPANY, LLC - HGBA"
New York Independent System Operator,NYIS,NEW YORK INDEPENDENT SYSTEM OPERATOR
NorthWestern Corporation,NWMT,NORTHWESTERN ENERGY (NWMT)
Ohio Valley Electric Corporation,OVEC,OHIO VALLEY ELECTRIC CORPORATION
"PJM Interconnection, LLC",PJM,"PJM INTERCONNECTION, LLC"
PUD No. 1 of Douglas County,DOPD,PUD NO. 1 OF DOUGLAS COUNTY
PacifiCorp East,PACE,PACIFICORP - EAST
PacifiCorp West,PACW,PACIFICORP - WEST
Portland General Electric Company,PGE,PORTLAND GENERAL ELECTRIC COMPANY
PowerSouth Energy Cooperative,AEC,POWERSOUTH ENERGY COOPERATIVE
Public Service Company of Colorado,PSCO,PUBLIC SERVICE COMPANY OF COLORADO
Public Service Company of New Mexico,PNM,PUBLIC SERVICE COMPANY OF NEW MEXICO
Public Utility District No. 1 of Chelan County,CHPD,PUBLIC UTILITY DISTRICT NO. 1 OF CHELAN COUNTY
"Public Utility District No. 2 of Grant County, Washington",GCPD,"PUBLIC UTILITY DISTRICT NO. 2 OF GRANT COUNTY, WASHINGTON"
"Puget Sound Energy, Inc.",PSEI,PUGET SOUND ENERGY
Salt River Project Agricultural Improvement and Power District,SRP,SALT RIVER PROJECT
Seattle City Light,SCL,SEATTLE CITY LIGHT
Seminole Electric Cooperative,SEC,SEMINOLE ELECTRIC COOPERATIVE
South Carolina Electric & Gas Company,SCEG,SOUTH CAROLINA ELECTRIC & GAS COMPANY
South Carolina Public Service Authority,SC,SOUTH CAROLINA PUBLIC SERVICE AUTHORITY
Southeastern Power Administration,SEPA,SOUTHEASTERN POWER ADMINISTRATION
"Southern Company Services, Inc. - Trans",SOCO,"SOUTHERN COMPANY SERVICES, INC. - TRANS"
Southwest Power Pool,SWPP,SOUTHWEST POWER POOL
Southwestern Power Administration,SPA,SOUTHWESTERN POWER ADMINISTRATION
Tampa Electric Company,TEC,TAMPA ELECTRIC COMPANY
Tennessee Valley Authority,TVA,TENNESSEE VALLEY AUTHORITY
Tucson Electric Power,TEPC,TUCSON ELECTRIC POWER COMPANY
Turlock Irrigation District,TIDC,TURLOCK IRRIGATION DISTRICT
Utilities Commission of New Smyrna Beach,NSB,"NEW SMYRNA BEACH, UTILITIES COMMISSION OF"
Western Area Power Administration - Desert Southwest Region,WALC,WESTERN AREA POWER ADMINISTRATION - DESERT SOUTHWEST REGION
Western Area Power Administration - Rocky Mountain Region,WACM,WESTERN AREA POWER ADMINISTRATION - ROCKY MOUNTAIN REGION
Western Area Power Administration - Upper Great Plains West,WAUW,WESTERN AREA POWER ADMINISTRATION UGP WEST
